Pclass;Sex;Age;Survived
3;0;0.2712;0
1;1;0.4722;1
3;1;0.3214;1
1;1;0.4345;1
3;0;0.4345;0
1;0;0.6733;0
3;0;0.0199;0
3;1;0.334;1
2;1;0.1706;1
3;1;0.045;1
1;1;0.7235;1
3;0;0.246;0
3;0;0.4848;0
3;1;0.1706;0
2;1;0.6859;1
3;0;0.0199;0
3;1;0.3843;0
2;0;0.4345;0
2;0;0.422;1
3;1;0.1832;1
1;0;0.3466;1
3;1;0.0953;0
3;1;0.4722;1
1;0;0.2335;0
1;0;0.4974;0
2;0;0.8241;0
1;0;0.3466;0
1;0;0.5225;0
3;0;0.2586;0
3;1;0.2209;0
3;1;0.1706;1
3;1;0.4974;0
2;1;0.334;0
2;1;0.0324;1
3;1;0.2335;1
3;1;0.2209;0
3;0;0.0827;0
3;0;0.2586;0
1;1;0.6105;1
2;1;0.3591;1
1;0;0.8115;0
2;1;0.2586;1
3;0;0.3529;0
2;1;0.0576;1
3;0;0.1329;0
3;0;0.2712;0
1;1;0.4722;1
1;0;0.5602;0
3;0;0.045;0
2;1;0.3591;1
3;0;0.2335;0
3;1;0.2083;1
3;0;0.3214;0
2;0;0.3968;0
3;1;0.1958;0
2;0;0.2586;0
3;0;0.3214;0
3;0;0.3968;1
3;0;0.3089;0
2;0;0.0052;1
3;1;0.3717;1
3;0;0.2712;0
3;0;0.3591;1
1;0;0.3466;0
2;1;0.2083;1
3;1;0.4094;1
3;0;0.1958;0
1;1;0.2837;1
3;0;0.2963;0
3;0;0.3591;0
3;0;0.246;0
1;0;0.5728;0
3;0;0.3214;0
3;0;0.7361;0
1;0;0.8869;0
1;0;0.2837;1
2;1;0.422;1
2;0;0.422;0
3;1;0.3466;0
1;0;0.2586;0
3;0;0.4094;0
3;0;0.4597;0
3;0;0.3466;0
3;1;0.2586;1
3;0;0.4722;0
1;0;0.5853;0
3;1;0.1769;0
3;0;0.2712;0
3;1;0.246;0
3;1;0.2083;0
3;0;0.2586;0
3;0;0.8806;0
2;0;0.3591;0
1;0;0.2963;0
3;1;0.0199;0
2;0;0.2586;0
2;0;0.4031;0
2;1;0.4031;1
1;0;0.6733;0
3;0;0.1455;1
3;0;0.2963;1
3;0;0.5602;0
3;0;0.4094;0
3;0;0.246;0
3;1;0.5853;0
2;1;0.3591;1
2;0;0.3089;0
2;0;0.2837;0
1;1;0.2335;1
1;0;0.4597;0
3;0;0.1958;0
1;0;0.2963;0
3;1;0.2712;1
3;1;0.2963;1
3;0;0.2335;0
2;0;0.2209;0
2;0;0.2335;0
3;0;0.334;1
3;1;0.1078;0
2;0;0.4534;0
2;0;0.5225;0
2;0;0.6356;0
1;1;0.2712;1
3;0;0.6921;0
3;0;0.5036;0
1;0;0.6356;0
3;1;0.1958;1
3;0;0.3717;0
3;0;0.5476;0
2;1;0.4974;1
3;0;0.3214;0
3;0;0.2083;0
3;0;0.0073;0
3;0;0.1078;1
3;1;0.5602;0
3;0;0.3466;0
1;0;0.7612;0
3;0;0.045;0
3;1;0.0073;1
3;0;0.2586;0
1;0;0.6984;0
3;0;0.2209;0
1;1;0.623;0
2;0;0.3717;0
3;0;0.4471;0
3;0;0.1078;0
2;0;0.0073;1
3;1;0.045;1
1;0;0.5602;1
3;0;0.4974;0
3;0;0.4471;0
2;1;0.3968;1
2;0;0.2335;0
3;1;0.2335;1
2;0;0.0324;1
1;1;0.5476;1
1;1;0.7235;1
3;0;0.5225;0
2;1;0.2963;0
3;0;0.3466;0
3;0;0.422;0
3;0;0.5665;0
3;0;0.2209;1
3;1;0.0199;0
3;0;0.3968;0
3;0;0.3214;1
3;1;0.1958;1
1;0;0.4974;1
3;0;0.2963;0
2;1;0.4345;1
3;0;0.2712;0
2;0;0.3717;0
1;1;0.3843;1
3;1;0.334;1
2;0;0.5225;0
1;1;0.3968;1
2;0;0.3717;0
3;0;0.1958;1
2;0;0.334;0
3;0;0.6356;0
1;0;0.4722;1
3;0;0.2712;0
2;0;0.2335;1
3;0;0.2523;0
2;0;0.2209;0
1;1;0.4345;1
3;0;0.3591;0
2;0;0.7361;0
3;1;0.0576;1
2;0;0.2963;0
2;0;0.5476;0
2;1;0.0953;1
2;0;0.2335;0
2;0;0.4094;0
2;0;0.3591;0
3;0;0.2712;0
3;0;0.3717;0
1;0;0.5476;0
3;1;0.3089;0
2;1;0.2963;1
1;0;0.4597;1
2;0;0.6733;0
3;1;0.3591;0
1;0;0.7738;0
3;0;0.3717;0
3;1;0.5099;0
3;1;0.3591;1
1;1;0.3717;1
1;1;0.4345;1
2;1;0.623;1
3;0;0.0324;1
1;0;0.6482;0
1;0;0.4974;0
2;0;0.4471;0
3;0;0.1958;0
3;0;0.3089;1
1;1;0.7235;1
1;1;0.4345;1
3;0;0.3089;1
2;1;0.5099;1
1;0;0.4597;0
1;1;0.7864;1
3;1;0.5602;0
3;0;0.0827;0
3;1;0.4345;1
3;0;0.8115;0
3;0;0.3466;0
3;0;0.1958;0
3;0;0.2335;1
3;0;0.4094;0
3;0;0.3717;1
3;0;0.2712;0
2;0;0.5225;1
3;1;0.2712;1
1;1;0.3214;1
1;1;0.2335;1
2;0;0.4471;0
3;1;0.2963;0
3;0;0.2963;0
3;0;0.29;0
1;1;0.0199;0
1;1;0.623;1
3;0;0.2335;0
1;0;0.0063;1
1;1;0.2083;1
2;0;0.3717;0
1;1;0.3717;1
1;1;0.2963;1
1;1;0.2209;1
2;1;0.3214;0
3;0;0.3466;0
2;0;0.5351;0
3;1;0.3214;1
2;1;0.2963;1
2;0;0.6733;0
1;1;0.3843;1
1;1;0.4974;1
3;0;0.2712;0
3;0;0.334;0
2;1;0.3717;1
2;1;0.2712;1
1;1;0.4471;1
3;0;0.7612;0
2;1;0.4471;1
3;1;0.3843;1
1;1;0.1958;1
1;0;0.5665;0
1;0;0.4722;0
3;0;0.1958;0
1;0;0.3591;0
1;1;0.5099;1
3;0;0.5602;1
1;0;0.5602;0
2;0;0.0199;1
1;1;0.2963;1
2;0;0.3466;0
2;0;0.3089;0
2;0;0.4471;0
2;1;0.2963;1
2;1;0.4974;1
3;0;0.0324;1
3;0;0.5225;0
3;0;0.2837;0
3;0;0.1832;0
3;0;0.3089;0
3;0;0.3466;0
1;1;0.2712;1
2;1;0.4722;0
3;0;0.4974;0
2;0;0.3591;0
3;1;0.5602;0
3;0;0.4345;0
3;0;0.3717;0
1;1;0.7487;1
1;1;0.2963;1
1;0;0.3089;1
3;0;0.2209;0
3;0;0.2335;0
1;0;0.2712;0
3;1;0.0324;0
3;1;0.2712;1
1;0;0.334;0
3;0;0.246;0
3;0;0.2335;0
1;1;0.5225;1
3;1;0.0073;1
3;0;0.3968;0
1;1;0.4345;1
2;0;0.2209;0
3;0;0.0073;0
2;1;0.4471;1
2;1;0.2083;1
1;0;0.4471;1
3;0;0.2586;1
3;0;0.3466;0
1;1;0.2837;1
3;1;0.2963;1
3;0;0.2712;0
3;1;0.3843;0
2;0;0.5728;0
2;0;0.2837;0
2;1;0.3466;1
3;0;0.4848;1
3;0;0.3214;0
3;1;0.2586;0
3;0;0.3466;0
3;1;0.246;0
2;0;0.422;0
3;0;0.6356;0
2;0;0.0324;1
3;0;0.2586;0
1;1;0.4094;1
3;0;0.5476;1
2;1;0.422;1
2;1;0.2209;1
2;0;0.3717;0
3;1;0.1204;0
3;0;0.2586;0
3;0;0.3591;0
3;1;0.3466;0
3;0;0.2209;0
2;1;0.3466;1
2;1;0.2335;1
3;0;0.3968;1
1;0;0.3466;1
2;1;0.5225;1
3;0;0.2083;0
1;0;0.623;0
1;1;0.1706;1
3;1;0.2586;0
2;1;0.2963;1
1;0;0.7989;0
2;0;0.3843;0
2;1;0.5602;1
3;0;0.246;0
3;0;0.3089;0
2;1;0.3466;1
1;0;0.045;1
2;1;0.1581;1
1;0;0.422;1
3;1;0.0576;1
1;0;0.6482;1
2;0;0.4471;0
1;0;0.3717;0
1;0;0.6105;1
3;0;0.3591;1
1;0;0.8115;0
2;1;0.623;1
1;0;0.5979;1
3;0;0.422;0
1;0;0.5853;0
2;0;0.5979;0
3;0;0.4722;0
1;0;0.6984;0
3;1;0.0041;1
3;0;0.4722;0
2;1;0.4094;1
2;1;0.2837;1
3;1;0.2712;0
2;0;0.422;0
3;0;0.3591;0
3;0;0.2712;0
3;1;0.0199;1
3;0;0.1078;0
3;0;0.623;0
3;1;0.7864;1
1;0;0.3089;1
1;1;0.4345;1
1;0;0.7235;0
3;0;0.3717;0
3;0;0.1078;1
3;0;0.2586;0
1;0;0.6859;0
1;0;0.8869;0
3;0;0.2586;0
1;1;0.6733;1
1;1;0.3089;0
3;0;0.2963;0
3;0;0.2083;0
3;1;0.2586;0
3;1;0.4597;0
1;1;0.1958;1
1;0;0.2209;0
2;1;0.4094;1
3;0;0.3466;0
3;0;0.3214;1
3;0;0.3591;1
1;0;0.4471;1
1;1;0.6733;1
3;0;0.2963;0
1;0;0.5853;0
2;1;0.422;1
2;1;0.4471;1
3;0;0.3968;0
1;1;0.3717;1
3;0;0.2712;0
1;1;0.5476;1
3;0;0.5036;0
2;1;0.623;1
3;0;0.4848;0
2;0;0.2837;0
2;1;0.0199;1
3;0;0.2083;0
3;1;0.3717;0
2;1;0.0827;1
1;0;0.5602;0
1;1;0.3717;1
1;1;0.2712;1
1;1;0.4471;1
3;1;0.1078;0
3;1;0.1329;0
2;0;0.3968;1
1;0;0.623;0
1;0;0.7989;0
2;1;0.2335;1
3;0;0.4094;0
2;0;0.0953;1
1;0;0.2083;1
2;0;0.334;0
3;0;0.2712;1
3;1;0.2712;1
1;0;0.7738;0
1;1;0.5979;1
1;1;0.4848;1
3;1;0.4471;1
3;0;0.4974;0
2;0;0.3466;0
3;0;0.2963;0
3;0;0.2335;0
3;1;0.3591;0
3;0;0.3968;1
2;0;0.7738;1
1;1;0.6607;1
1;0;0.4471;1
3;0;0.1958;0
3;0;0.2335;0
2;1;0.422;1
1;1;0.4848;1
3;0;0.3968;1
2;1;0.3089;1
1;1;0.4848;1
2;0;0.6733;0
1;0;0.4471;0
1;1;0.2209;1
2;0;0.5853;0
1;0;0.7487;1
3;0;0.2712;0
3;0;0.4345;0
1;1;0.6482;1
3;0;0.5853;0
2;0;0.4597;0
3;0;0.4471;0
3;0;0.6105;0
1;0;0.6105;1
2;1;0.2963;1
3;0;0.5476;0
1;0;0.4345;1
3;0;0.4471;0
3;0;0.3717;0
1;0;0.334;1
2;1;0.2712;1
1;1;0.4974;1
3;1;0.4848;0
3;0;0.4345;0
2;1;0.2963;1
3;0;0.422;0
3;1;0.3214;0
2;1;0.045;1
2;0;0.3214;0
3;0;0.334;0
1;0;0.5225;1
3;0;0.246;1
3;0;0.2586;0
3;0;0.2586;0
1;0;0.7612;0
2;0;0.711;0
1;1;0.2586;1
3;0;0.3214;0
1;0;1.0;1
3;0;0.6356;0
1;0;0.3968;1
3;1;0.1078;0
2;1;0.3466;1
3;0;0.3968;0
2;0;0.3843;0
3;1;0.5099;0
3;0;0.246;0
1;1;0.2963;1
3;1;0.0199;0
3;1;0.0041;1
1;0;0.5979;1
3;0;0.2335;0
1;0;0.6984;1
3;1;0.2837;1
2;1;0.2209;1
3;0;0.2586;0
3;1;0.2209;0
2;0;0.2963;0
3;1;0.3968;0
